,distribution,frequency
1660,peripheral,293
2392,delivery,293
2507,upward,292
1186,transparent,292
4146,wherein,292
2265,hill,291
2607,screw,291
264,waveform,291
1812,edition,291
1319,programmed,290
3433,blue,289
694,choose,289
456,careful,289
4991,paint,288
2610,coo,288
1025,orthogonal,287
1161,risk,287
4765,leaf,287
734,ready,287
1283,arise,286
5705,adsorption,286
902,analogous,286
3324,streamline,285
306,offer,285
2282,salvage,284
922,business,284
754,modular,284
6331,zinc,283
1079,telephone,283
2847,person,280
2462,flown,280
2308,astronomy,280
1594,ease,279
2511,molecule,279
1258,session,279
3458,perfect,278
5797,sheath,278
2358,exploration,277
5680,volcanic,277
4552,dish,277
5397,diurnal,277
3980,suppression,277
2688,throttle,276
2423,platinum,276
1794,amp,276
4820,county,276
1296,batch,275
3142,tone,275
2109,quadratic,275
3258,abort,275
1168,handle,275
2592,formal,274
2337,trip,274
1235,purchase,274
4879,slurry,274
4902,ammonia,274
3782,ahead,274
757,rice,273
1340,onset,273
1433,benefit,273
3198,stock,272
3495,monoxide,272
3722,corn,272
967,update,272
741,tic,272
2956,cast,271
387,comprehensive,271
1649,split,271
3398,alcohol,270
3070,artificial,270
3476,centrifugal,270
2254,airflow,270
2829,aqueous,270
3418,situ,270
2692,enthalpy,269
4620,loft,268
4799,graphic,268
1311,fifth,268
2466,school,267
146,duty,267
229,accomplish,267
2604,host,267
3839,stall,267
2532,ash,266
4735,hazard,266
4296,plume,266
3888,touchdown,266
909,despite,266
2076,civil,265
1531,television,265
3540,mine,265
3541,oak,265
676,accommodate,265
2889,nomenclature,265
2941,seismic,265
1793,imaginary,264
284,today,264
3483,axisymmetric,264
4003,committee,263
2629,martin,263
3494,methane,263
2229,manifold,263
2474,emittance,263
231,universal,262
717,sat,262
1615,scalar,261
3376,wood,261
6986,anneal,261
2371,cargo,261
766,meaningful,260
3333,broken,260
3003,explain,259
1718,minimal,259
3166,trap,259
4095,mix,259
2675,console,258
2717,lip,258
4443,agriculture,258
1229,deal,258
634,specify,258
575,conclude,258
1759,proceed,257
1440,depletion,257
2591,null,257
2483,regular,256
1891,union,256
1765,miniature,256
1856,modern,256
1338,flag,256
2169,char,256
2514,tie,255
2270,plenum,255
1843,inferred,254
4885,stratum,253
2220,magnesium,253
2685,deck,253
1981,rotary,253
2510,ire,253
1835,additive,252
2723,rat,252
3034,mum,252
919,sale,252
4816,geology,252
2321,rake,251
5396,canister,251
1047,context,251
3629,shallow,251
6613,apogee,250
2275,rupture,250
5889,spar,249
2191,truth,249
2258,impossible,249
2504,downward,249
1115,integrity,248
6696,conductance,248
6078,web,247
5777,luminosity,247
390,ram,247
1277,tot,246
4453,forest,246
5389,seat,246
2586,spare,246
1722,flash,246
1712,merit,245
3408,carbonate,245
7029,sandwich,245
4704,eastern,245
2113,analogy,245
476,notice,245
1738,breadboard,245
3757,frozen,244
5513,stripe,243
2934,earthquake,243
1836,watt,243
2281,disposal,243
5868,lubricant,243
1980,petroleum,243
1339,advance,242
2603,job,242
1415,mobile,242
2800,catalytic,241
4529,mineral,241
1943,car,241
2712,singular,240
2412,pacific,240
4969,gasoline,240
1050,foundation,240
1460,intense,240
4589,wheat,240
2276,marine,239
2872,sand,239
4578,molar,238
1041,proven,238
3621,dense,238
3525,signature,238
532,express,237
4519,torus,237
6221,pivot,237
2239,molten,237
1202,transmitting,236
879,soon,236
933,illegible,236
2839,sulfide,236
1102,create,236
3339,incompressible,236
842,dead,236
630,necessity,236
2255,eye,236
2029,refractory,235
3487,hydrodynamic,235
1298,mind,234
102,trade,233
6007,maser,232
3740,lox,232
2662,pro,232
1426,standby,232
3751,determinant,231
4734,season,231
3765,camber,230
944,approval,230
3110,pound,230
820,extra,230
2411,atlantic,229
955,executive,229
4389,rainfall,229
3865,bracket,229
4515,silicone,228
1378,interim,228
1118,expensive,228
3781,aileron,228
3521,warm,228
2479,assistant,228
2442,standpoint,228
3478,impeller,228
5636,compartment,227
2176,beryllium,227
1067,constitute,227
3766,twist,226
3093,ell,226
18,ate,226
2873,geophysical,226
8,lee,225
819,usable,225
5008,fence,225
5258,slag,224
442,inequality,224
2546,pollution,224
1811,jersey,223
4261,drill,223
1647,reversal,223
2326,concrete,223
2400,ascent,223
3033,adjust,223
1917,pack,223
4211,bell,222
5225,phosphorus,222
1475,revolution,222
5748,celestial,222
5247,freon,221
3928,wash,221
640,referring,221
770,oscilloscope,221
1580,unidirectional,221
2759,associate,221
1782,self,221
33,supplementary,220
5697,lava,219
2720,tin,219
3889,cockpit,219
8192,microbial,219
1900,chain,218
1579,echo,218
2162,implicit,218
1963,manufacture,218
841,stroke,218
2696,frank,218
4188,rescue,217
3453,twin,217
4875,nimbus,217
866,adiabatic,217
608,insight,216
1779,house,216
400,convert,216
2547,spectroscopy,216
5075,vent,215
613,adverse,215
692,ohm,215
3769,hinge,215
2600,printout,214
1800,proximity,214
3419,mole,214
2347,personal,214
3897,glide,214
1731,wish,213
1884,odd,213
4097,collapse,213
1494,hundred,213
6800,bladder,213
5930,suit,213
1385,mid,212
1499,parasitic,212
1984,urban,212
1790,malfunction,212
2667,annular,212
5921,thermionic,211
2208,modify,211
1384,promise,211
3161,shelf,210
1439,sapphire,210
3459,topography,210
5711,liquefaction,210
2182,coarse,210
1846,insufficient,209
1763,connect,209
1814,proposal,209
6037,sleeve,209
3717,nodal,208
3993,solenoid,208
3885,brake,208
4158,buildup,208
1272,round,208
7900,cadmium,208
6695,solder,208
1119,employ,208
2262,mat,207
6028,ellipse,207
3182,irregular,207
426,philosophy,206
1282,initiate,206
1333,pollen,206
2482,climate,206
5941,hysteresis,204
2147,metric,204
1452,retention,204
548,incorporate,203
2746,peroxide,203
795,assist,202
266,ramp,202
2922,annulus,202
1852,reciprocal,202
1840,scenario,202
2710,inadequate,202
4990,tax,201
351,miss,201
5801,anisotropic,201
2942,resistant,201
2274,bull,200
2103,rotate,199
2846,ware,199
492,worst,199
4721,survival,199
2690,mast,199
6271,confidential,198
7902,fecal,198
725,marginal,198
946,domestic,197
6293,fog,197
823,dot,197
2505,sunlight,196
838,intake,196
809,connector,196
5034,explosion,196
1513,enhance,196
6612,perigee,196
2682,ana,196
3211,ribbon,195
2373,nil,195
3755,closure,195
5810,cloth,195
6161,tissue,194
1442,play,194
3578,ordinate,194
2223,fluoride,194
834,algebraic,194
3957,diesel,194
5878,amorphous,193
3778,taper,193
5254,calcium,193
6754,desorption,193
4281,financial,193
2007,brittle,193
4434,cam,193
1983,economy,193
2886,confirm,192
4661,plain,192
4542,fluorescent,192
3401,quadrant,192
1288,accept,192
2294,thereof,192
2575,diagnostic,192
2913,rendezvous,191
2506,pit,191
4648,canopy,191
1822,idle,191
1177,worth,191
1082,country,191
1520,steep,191
2713,insert,191
3156,inert,190
1878,ago,190
2693,bleed,190
7259,bacteria,190
2530,spec,190
2890,alp,190
1006,throughput,190
4109,altimeter,190
5985,alkali,190
3561,meteor,190
1194,want,189
3882,airframe,189
5952,centaur,189
510,till,189
5518,groove,189
4469,sect,189
3074,ace,188
3068,mate,188
459,twelve,188
3961,quiet,188
1120,construct,188
3971,startup,188
5793,ecliptic,187
1284,interrupt,187
3944,mold,187
2641,took,187
2962,bore,187
954,omitted,187
5852,lightweight,186
2734,fir,186
4675,elsewhere,186
1269,facsimile,186
3474,academy,186
3250,provision,185
5842,chromium,185
6694,indium,185
2118,accident,185
4006,pneumatic,184
5630,pioneer,184
2303,calendar,184
1153,heart,184
3653,tangent,184
6375,patch,184
5529,micron,184
3647,stochastic,184
1353,temporary,183
6063,convex,183
2537,watershed,183
908,expense,183
3214,cape,183
2851,student,182
4727,debris,182
587,intrinsic,182
1931,automotive,182
4447,chlorophyll,182
2240,king,182
3361,sequential,182
4207,parent,182
2316,firm,182
3290,experimentation,181
6059,lenticular,181
325,implement,181
2080,substitute,181
2940,congress,181
3342,astronaut,181
1847,instant,181
6174,electrolysis,181
2528,logarithmic,181
1165,insensitive,180
2493,aim,180
1910,claim,180
2767,try,179
3450,soluble,179
4523,dip,179
2408,spent,179
765,consecutive,179
1038,familiar,179
2463,men,178
2406,turbofan,178
3399,residue,178
1292,prepare,177
2850,navy,177
6189,entropy,177
2141,plateau,177
2185,ant,177
3859,elliptic,176
2831,anodic,176
1829,answer,176
3499,fossil,175
3883,customary,175
5006,combat,175
2929,rank,175
240,straightforward,175
579,bring,175
3116,iris,174
3972,shutdown,174
4251,food,174
4394,memorial,174
2971,employee,174
1160,posse,174
265,triangular,174
2550,aerosol,173
1584,intercept,173
2861,helpful,173
6179,purge,173
3164,gun,173
3997,couple,173
2848,respond,173
3675,cot,173
1801,mill,172
3935,son,172
4551,slide,172
2083,bend,172
1606,fringe,172
8220,corona,172
3763,legend,172
3771,vorticity,172
1155,arithmetic,172
4080,smoke,171
3841,designate,171
3600,asymmetry,171
2741,faculty,171
3185,baffle,170
4502,float,170
2625,forth,170
2309,tory,170
2045,norm,170
4182,council,170
3682,fur,170
6156,amino,170
2116,flexural,169
69,frequent,169
2687,ore,169
6364,extrusion,169
5737,galaxy,168
5187,etch,168
3856,infinity,168
3712,lid,168
3464,void,168
194,strategy,168
4494,gam,168
3421,yellow,167
1133,gradual,167
6314,swirl,167
359,compensate,167
1509,cure,167
3943,nation,167
3994,lightning,167
1344,retain,166
3986,door,166
3857,isentropic,166
378,tine,166
3827,sic,166
1610,crystalline,166
1952,locate,166
1664,implantation,166
2959,torsion,166
3013,feel,165
7627,explanatory,165
3106,sixth,165
3098,predictor,164
3196,shadow,164
3219,beta,164
2760,begun,164
2345,grow,163
2390,install,163
3570,identity,163
1247,arrive,163
5732,accretion,162
4107,fair,162
1013,multiplication,162
196,bench,162
2124,wax,162
2026,flaw,162
5720,apex,162
6588,immersion,161
1935,came,161
317,sudden,161
4061,false,161
1742,augmentation,161
943,sponsor,161
3513,rose,161
5724,tidal,161
1432,alter,161
5966,seam,161
3786,ward,160
7546,boil,160
6168,metabolic,160
2805,iodine,160
3179,bare,160
1617,cosine,160
3959,corporate,160
1316,protect,159
5045,sugar,159
1549,saw,159
2827,daytime,159
5096,phosphoric,159
5248,chlorine,158
2860,accessible,158
3375,seminar,158
2535,pre,158
8537,asbestos,158
3412,inorganic,157
2844,uniaxial,157
3548,eigenvalue,157
1523,beneath,157
3362,keyboard,157
3880,sideline,157
2952,annex,157
5021,cement,157
5755,lemma,157
3721,restraint,157
2626,pseudo,156
804,rack,156
2808,xenon,156
3008,skill,156
6062,primal,156
1449,traverse,156
1802,miscellaneous,155
643,permissible,155
2509,sub,155
2755,biology,155
2333,heliocentric,155
887,selector,155
2927,henry,155
86,thorough,155
2205,twenty,154
6578,male,154
4287,gauss,154
2339,continuation,154
2359,retrieval,154
4385,beacon,153
87,editor,153
2552,compilation,153
7315,deflector,153
945,baseband,153
1524,depression,153
3662,southwest,153
1236,beneficial,153
3334,fly,153
4750,northwest,153
960,thank,152
3509,bad,152
448,simplify,152
2106,invariant,152
4814,residential,152
6111,synoptic,152
1751,framework,152
3956,chairman,151
1468,factory,151
1674,billion,151
1314,guard,151
2939,social,151
2561,programmer,151
2399,massive,151
6888,electrolytic,151
1530,leave,151
3627,clamp,150
6717,wedge,150
1870,peter,150
1254,sort,150
2784,instructor,150
4496,thermo,150
844,attain,149
5825,eclipse,149
2091,sight,149
1418,collect,149
2202,beat,149
6010,blockage,149
3909,arrow,149
700,compromise,149
1784,mutual,148
1420,fabricate,148
3118,lim,148
371,rural,148
1764,topology,148
1481,oft,148
1032,exercise,147
2196,morphology,147
4689,coincide,147
7623,phosphate,147
3146,reception,147
2863,rent,146
2865,allowance,146
3468,prism,146
2750,correlate,146
3241,kinematic,146
3217,zoo,146
2256,comment,146
7573,nylon,146
4144,transit,145
7839,centrifuge,145
4087,diamond,145
590,decade,145
5638,pour,145
3225,lying,145
729,inn,145
4306,slit,145
6243,sting,145
1135,permitting,145
1605,exterior,145
2613,embedded,145
3314,lap,144
5700,nebula,144
1859,elementary,144
4148,arid,144
2496,constituent,144
4395,exploratory,144
2885,ephemeris,144
4424,slant,143
1169,volatile,143
2916,sulfate,143
5351,nighttime,143
3907,airline,143
3410,photolysis,143
1063,whereby,142
5213,freeze,142
5419,maybe,142
5703,condensate,142
5367,iodide,142
7272,protein,142
1425,complementary,142
1896,triangle,141
5586,cobalt,141
738,opt,141
1888,comprise,141
4824,tectonic,141
1327,empty,141
2993,race,141
2179,zirconium,140
4499,tau,140
1535,bandpass,140
2761,injury,140
1683,cpu,140
4187,medicine,140
2010,catastrophic,140
7754,hologram,140
4676,pond,140
6006,pickup,140
4226,flood,140
2703,label,140
1224,mail,139
2146,crease,139
6274,inasmuch,139
6697,flexure,139
2246,soot,139
3552,ally,139
10230,holdup,139
2859,else,139
3186,likewise,139
3860,hyperbolic,139
3921,inflow,138
1055,route,138
1031,believe,138
863,expand,137
7626,behalf,137
6959,sham,137
3760,preventive,137
2099,concentric,137
3094,integrate,137
5992,hydroxide,137
2907,ran,137
16,recipient,137
2439,combine,136
4094,bag,136
4712,creek,136
542,degrade,136
5083,helical,136
1554,propagate,136
5074,pyrolysis,136
8619,tactual,136
2123,treat,136
1947,cant,136
5016,paraboloid,136
6647,suppressor,136
4082,dilution,135
2787,sought,135
3271,latent,135
1831,complement,135
1095,modest,135
1122,programmable,135
529,oscillatory,135
3035,perspective,135
3077,noisy,135
2298,thereafter,135
3777,slat,135
4455,gulf,135
4652,nadir,135
1572,vice,135
8492,pigment,135
1150,advantageous,134
2796,stratospheric,134
1670,shot,134
8193,anaerobic,134
2938,credit,134
4093,droplet,134
3359,dummy,134
5958,tantalum,133
1257,string,133
6706,shunt,133
3837,mountain,133
4930,cellular,133
3875,nearby,133
541,isolate,133
2681,potentiometer,133
4062,alarm,133
373,cit,133
953,architecture,133
3212,quick,133
584,stringent,133
538,susceptible,132
3006,fell,132
4419,ether,132
3920,stick,132
8185,urine,132
3,pace,132
2314,intact,132
2428,rare,131
428,share,131
2538,geophysics,131
444,poi,131
3455,aboard,131
2089,caution,131
6175,jacket,131
1035,accelerate,131
292,inter,131
4318,royal,131
4492,strut,131
3340,pallet,131
3069,descriptive,131
4511,blunt,131
2066,slender,131
1869,jack,130
6595,limb,130
5399,median,130
4463,bill,130
2958,slab,130
3916,excursion,130
2288,oceanic,130
399,inductance,130
1253,duplicate,130
4764,bedrock,129
2053,inward,129
1568,coaxial,129
2931,boulder,129
2704,linkage,129
1667,draw,129
2128,absorb,129
3306,rinse,129
4884,analyst,129
2405,shut,129
1855,explore,128
3598,carriage,128
2531,fro,128
6180,dump,128
2728,tee,128
3345,preclude,128
2324,fix,128
5683,volcano,128
2238,novel,128
4173,meteorology,128
3581,vanish,127
3014,acquire,127
3925,coincident,127
2494,stud,127
76,si,127
4730,grass,127
3144,decimal,127
2815,parenthesis,127
6619,ionic,127
2541,stratosphere,127
4880,particulate,127
4665,farm,127
2856,competitive,127
3946,anomalous,126
1501,tight,126
5573,triple,126
5854,monomer,126
2328,fleet,126
6370,frontal,126
1335,latch,126
3490,soviet,126
4091,rich,126
4999,guess,125
5663,chassis,125
120,chance,125
3167,brass,124
3744,fresh,124
4929,desert,124
576,anti,124
3804,cowl,124
3862,convergent,124
2478,graduate,124
3556,volumetric,124
3272,newton,124
3479,periphery,124
6707,epitaxial,124
652,ail,123
2460,adaptation,123
3350,button,123
1798,dam,123
1109,epoch,123
1152,topic,123
2745,vision,123
1985,passenger,123
3397,ethyl,123
1129,visit,123
2789,thread,123
4707,scar,122
2051,withstand,122
5303,emitting,122
4470,skew,122
4534,bow,122
5029,rectifier,122
4343,memo,122
2617,micro,121
4562,crude,121
2018,opaque,121
3983,ejector,121
572,noticeable,121
1993,legal,121
1556,execute,121
1293,assign,121
7054,ordnance,121
1796,nothing,121
2697,turbojet,121
6713,microscopy,120
2042,spite,120
8549,countdown,120
1264,incorrect,120
6579,basal,120
528,conjugate,120
5308,practicable,119
1492,ripple,119
1419,induce,119
5742,crab,119
8873,brace,119
3622,strike,119
1156,cat,119
334,impractical,119
8483,cathodic,119
2525,stone,119
2842,monte,119
2369,advisory,119
2210,went,118
3355,style,118
471,viewpoint,118
5093,tubular,118
4064,adequacy,118
1964,machinery,118
3184,flush,118
8974,petal,118
6024,vertex,118
5392,spark,118
2197,cursor,118
3160,coat,118
2283,asteroid,118
421,kit,118
3558,admissible,118
2631,wright,118
4866,effluent,118
5319,intrusion,118
1388,dominate,117
3360,incomplete,117
5678,crust,117
6839,fabric,117
2843,pollutant,117
3204,soak,117
4796,orange,117
6089,propane,117
2024,dent,116
1438,powerful,116
2114,concave,116
4487,opposition,116
3189,surf,116
4020,autopilot,116
3101,backward,116
7858,bacterial,115
562,prominent,115
7728,helix,115
4766,clay,115
5409,ampere,115
6638,meteorite,115
3112,pot,115
3698,default,115
1640,absent,115
4119,den,115
7446,elbow,114
6231,comparator,114
134,distinguish,114
4435,ear,114
5196,resist,114
991,jump,114
511,insignificant,114
3914,auto,114
4550,nichrome,114
6348,weber,113
4089,nitric,113
1015,gallium,113
620,impose,113
2737,as,113
414,ample,113
3516,mild,113
6058,calculus,112
4449,drainage,112
2879,draft,112
4108,mandatory,112
4429,astrophysical,112
3020,seventh,112
3537,dye,112
3386,virtual,112
961,rationale,112
10029,penthouse,111
1369,borne,111
1351,woo,111
4520,toroidal,111
4741,district,111
4596,pool,111
6064,cantilever,111
2471,climatic,111
3530,extract,111
7180,honey,111
1739,manpower,110
4568,clockwise,110
2582,hazardous,110
6826,bone,110
4830,auger,110
3567,pulsar,110
5745,radioactive,110
3636,streak,110
1495,thousand,110
5352,slosh,110
1076,contrary,110
3752,convention,110
3745,conform,109
6379,digit,109
3543,farther,109
1818,priori,109
454,discovery,109
2300,evolutionary,109
6580,excretion,109
8206,alkaline,109
2867,mile,109
4036,reversible,109
982,bipolar,109
4720,oblique,109
1956,seek,108
3192,specular,108
2894,nut,108
4267,chi,108
1467,generic,108
3624,loose,108
3853,neglect,108
3073,rot,108
1291,vital,108
9,polytechnic,107
1016,arsenide,107
5893,scientist,107
3967,surge,107
3017,live,107
1002,hertz,107
2551,fox,107
2718,win,107
4279,jar,107
2086,behave,107
3183,cup,107
6135,declination,106
1103,pull,106
64,intent,106
4588,ancillary,106
5899,offshore,106
8004,quadrupole,106
1053,send,106
4772,war,106
2708,err,106
6741,bromide,106
5073,reactant,106
2566,slice,105
2016,hollow,105
7557,surveyor,105
595,spike,105
6693,ferrite,105
4365,fat,105
4169,mantle,105
1924,rho,105
3449,aromatic,105
6940,flue,104
3325,something,104
2331,distant,104
2806,ohmic,104
8232,glucose,104
6305,circumference,104
5189,sputter,104
5218,ethylene,104
3263,attach,104
1807,harness,104
1744,pan,104
557,abrupt,104
7857,titanate,104
5749,definitive,104
5338,sunset,104
4618,gel,104
5169,highway,104
1123,continental,104
3226,sit,104
7321,blackbody,103
1493,divide,103
1634,permalloy,103
494,moo,103
4726,charcoal,103
1265,speech,103
1386,tentative,103
3393,lay,103
2432,blanket,103
7332,germanium,103
1245,hit,103
348,resistive,103
3982,spool,103
254,audio,103
3606,wise,103
7225,referent,103
3456,schlieren,103
5516,implant,102
6108,distillate,102
2446,acknowledge,102
1510,dopant,102
2152,promote,102
2724,imp,102
404,col,102
3996,weapon,102
6325,shoulder,102
4513,grove,102
2765,home,102
4196,pee,102
2608,logging,102
3202,arch,102
2772,institution,102
3849,lilt,101
1497,hope,101
928,paid,101
628,rigorous,101
3288,score,101
3149,trouble,101
145,inductor,101
672,bolt,101
3055,senior,101
2799,inhibit,101
6242,primitive,101
3840,abscissa,101
3999,reject,101
2215,dome,101
4809,fork,101
1905,octave,101
3357,walk,100
5283,automobile,100
6586,physiology,100
3790,perimeter,100
2450,cancel,100
3774,save,100
2189,ale,100
4125,seq,100
3028,opinion,100
3425,ethanol,100
2242,interpret,100
3496,fluorine,100
4769,turbidity,99
6486,bolometer,99
5585,urea,99
4897,president,99
3255,raise,99
3435,donor,99
5972,harry,99
3436,whatever,99
445,era,99
1598,garnet,99
1697,transferring,99
4801,dissertation,98
8285,ternary,98
6692,retardation,98
2729,tar,98
2231,hexagonal,98
8208,agar,98
5449,raster,98
2976,truly,98
5222,ingot,98
5349,northeast,98
3428,flask,98
877,partition,98
3551,azimuthal,98
3759,fifteen,98
3438,isotope,98
1117,incurred,97
5325,virtue,97
2558,centroid,97
6134,noon,97
4239,eta,97
4812,decline,97
3415,hydride,97
6738,billet,97
4846,northwestern,97
452,ere,96
2203,erroneous,96
2225,conflict,96
1009,dwell,96
6915,eccentric,96
4178,commerce,96
1658,rail,96
1892,expectation,96
5499,receipt,96
1636,stay,95
1375,deliver,95
3015,pay,95
3426,barium,95
8162,basalt,95
6584,interstitial,95
703,stem,95
8735,phenolic,95
4460,virgin,95
5940,notch,95
5695,eruption,95
7032,biaxial,95
3448,confirmation,95
1154,ascertain,94
5020,perception,94
6698,bomb,94
1728,wit,94
3083,spline,94
3482,laid,94
1644,wound,94
6014,layup,94
3877,cutback,94
4145,autonomous,94
3493,neon,94
1372,dealt,94
1792,penetrate,94
1868,phoenix,94
5018,trough,93
420,ala,93
2520,troposphere,93
1708,cube,93
301,dictate,93
3341,trainee,93
1948,crane,93
963,protocol,93
7018,improper,92
5623,tern,92
7751,maria,92
6860,addendum,92
6224,conformal,92
1830,think,92
1443,lose,92
6773,inhomogeneous,92
3529,abnormal,92
6322,torch,91
4714,texture,91
8757,silane,91
3489,hydro,91
5479,dial,91
5789,latitudinal,91
2709,exec,91
5376,mare,91
5726,caldera,91
3310,sediment,90
2686,tabular,90
224,oat,90
1665,progressive,90
5235,hydrothermal,90
3109,thirty,90
5127,animal,90
2519,versatile,90
1902,tree,90
3973,erratic,90
3390,shed,90
958,loan,90
1707,super,90
1183,custom,90
3283,comb,90
7343,nautical,89
3281,maximal,89
3789,theta,89
6236,maxwell,89
3733,lion,89
4670,acreage,89
7330,dewar,89
1770,doubt,89
1346,wait,89
5080,chromatography,89
2488,validate,89
6196,voltmeter,89
4933,peculiar,89
1976,lent,89
3905,footprint,89
1145,desire,89
3527,repetitive,89
3208,blown,88
3294,suggestion,88
1446,nitride,88
3274,converge,88
3886,lever,88
5388,tractor,88
1975,horsepower,88
1571,piezoelectric,88
1309,aware,88
4976,bear,88
4159,upright,88
3684,hat,88
3300,dilute,88
1252,pose,88
8502,expulsion,88
5597,tract,88
2485,meridional,87
4324,ministry,87
9002,birefringent,87
5429,pulmonary,87
8020,abrasive,87
6382,campaign,87
921,official,87
1217,bidirectional,87
8238,pierce,87
4798,sane,87
4656,frost,87
5677,uplift,87
1107,sake,87
2038,polymeric,87
483,companion,87
1219,duplex,86
4399,pol,86
3815,phi,86
4592,directorate,86
4141,viz,86
7222,eutectic,86
6704,cartridge,86
3176,boat,86
7569,knee,86
2164,grand,86
2280,morris,86
1999,elect,86
2377,astrophysics,86
6215,hierarchy,86
6252,tropospheric,86
2264,gin,86
2447,interfere,86
2297,klystron,86
285,suffer,86
5676,bulge,86
2618,pipeline,86
2766,talk,86
5981,ester,86
5022,arsenal,86
2372,cow,85
5011,sporadic,85
5634,steer,85
5894,insoluble,85
5771,conic,85
798,jitter,85
7825,ammonium,85
3562,plausible,85
2012,sing,85
2290,geocentric,85
545,aforementioned,85
3423,fold,85
1435,sixteen,85
2071,mention,85
3628,clarity,85
5620,cyclotron,85
5263,vein,84
136,quiescent,84
1367,eighth,84
3644,urn,84
1573,versa,84
4090,stepwise,84
1182,terminate,84
2174,confusion,84
4029,diverse,84
4068,proprietary,84
4497,punch,84
6393,mouth,84
2930,counterpart,83
4031,survive,83
6904,faint,83
4771,breakup,83
5019,bulb,83
10165,inertance,83
3590,pinhole,83
3753,bee,83
2171,shrinkage,83
6727,worn,83
4454,geodetic,83
3235,sensory,83
4355,bulletin,83
3299,tandem,83
4715,inexpensive,82
2574,anywhere,82
3503,cloudy,82
2619,ford,82
4828,stereo,82
7156,snip,82
5144,inability,82
1909,big,82
2991,sole,82
5101,verbal,82
2901,cook,82
7213,feces,82
3087,crucial,82
4521,vanguard,82
1565,dramatic,82
2835,breakage,82
4907,spurious,82
4579,methyl,81
4590,barley,81
5274,oxidant,81
4177,apt,81
1431,stray,81
7056,conduit,81
2781,pine,81
1872,pat,81
3245,controllable,81
4179,bet,81
793,lean,81
5991,acetate,81
1304,tag,81
6973,valentine,80
5448,dietary,80
3926,hover,80
2299,concurrent,80
2376,extraterrestrial,80
6327,bulkhead,80
7461,persistent,80
1805,weigh,80
2350,aside,80
5984,bundle,80
4297,radian,80
3045,tour,80
1371,byte,80
2233,fibrous,80
2206,rib,80
6029,isotherm,79
8209,spectrograph,79
3761,inactive,79
6610,kin,79
5028,clutch,79
2527,histogram,79
3174,arcing,79
4154,intensive,79
6110,sup,79
4874,haze,79
3470,thermistor,79
5729,silicate,79
3650,reed,79
3270,peel,79
5757,synchrotron,79
2048,intermittent,79
7007,umbilical,79
8687,colony,79
2649,berg,78
5866,acetylene,78
4210,toe,78
2749,participate,78
517,worse,78
1374,multiplicity,78
7311,queue,78
4558,fission,78
3719,ride,78
2111,thing,78
3779,dihedral,78
6791,manometer,78
4264,sail,77
8729,secular,77
4353,erg,77
3303,needle,77
6128,radiosonde,77
4305,eleven,77
5770,luminous,77
1278,pal,77
4827,registration,77
2887,volcanism,77
3387,born,77
6902,photometry,77
2243,infer,77
1113,occupy,77
3791,touch,77
4175,hospital,77
3693,loll,76
6784,occlusion,76
5662,tent,76
5153,everywhere,76
6720,monochromator,76
431,please,76
1662,contiguous,76
5929,doublet,76
3808,ply,76
4027,dash,76
3797,lac,76
1839,attendant,76
3793,cop,76
2837,abundant,76
1969,franklin,76
1733,tradeoff,76
7832,propylene,76
3566,universe,76
3049,corp,76
3950,pick,76
2315,wherever,76
3312,serum,75
6158,assay,75
5010,arctic,75
4102,crash,75
3505,roof,75
4948,secure,75
7331,cuff,75
3286,sleep,75
2127,concentrate,75
4763,wetland,75
939,warren,75
3861,divergent,75
2597,minicomputer,75
2963,mason,75
322,elaborate,75
9648,brood,74
1788,trapezoidal,74
3814,sac,74
2317,money,74
7511,hygiene,74
6998,logarithm,74
1754,adopt,74
2568,scratch,74
5766,therein,74
8552,jettison,74
6582,metabolism,74
4525,intersect,73
4709,municipal,73
2198,corrosive,73
5709,dendritic,73
1996,contributor,73
1473,widespread,73
5679,lithosphere,73
2004,warranty,73
2030,quench,73
3899,comfort,73
6825,bind,72
7276,cryostat,72
2621,resident,72
4139,warmup,72
3002,informal,72
2341,exclusive,72
1951,calibrate,72
3716,hay,72
2148,cosh,72
3559,wavenumber,72
959,manuscript,72
6726,abrasion,72
3518,bin,72
9893,geyser,72
3990,evolve,72
6452,deficit,72
6181,shutoff,72
592,crossover,72
4758,income,72
5375,sly,71
3292,preference,71
2680,guarantee,71
8269,rhenium,71
7593,coplanar,71
4942,shale,71
5628,corollary,71
4724,numeric,71
8280,wobble,71
6404,hind,71
2396,warrant,71
5012,resemble,71
3114,lob,71
3640,align,71
5017,sensible,71
3054,tenth,71
4651,hair,71
5038,hydroelectric,71
4713,forestry,70
2579,hood,70
4679,decrement,70
7152,conformance,70
7359,unitary,70
1465,prom,70
3007,attrition,70
4831,rubble,70
2343,fiscal,70
3574,homogeneity,70
8692,aliphatic,70
6090,toluene,70
1522,withdrawal,70
3206,pen,70
5999,grit,70
4336,hail,70
1918,competition,70
5002,furnish,70
9621,aquifer,70
1679,ami,69
2327,habitat,69
3977,brush,69
6451,sunrise,69
3517,gal,69
2357,worldwide,69
4113,lecture,69
3416,radical,69
1250,wrong,69
2832,anion,69
4625,sled,69
6217,grad,69
4058,earl,69
1463,violet,68
3207,inoperative,68
3082,piecewise,68
5715,dune,68
2578,boo,68
2245,teat,68
2880,meridian,68
4194,ret,68
3582,sinh,68
7127,burnout,68
